ticketId,createdDate,closedDate,department,priority,sensitivity,assets,deviceTypes,hours,slaStatus,tier,projectCode,afterHours
INC-10041,2026-04-02,2026-04-02,ER,Critical,Clinical Systems - EMR,"CART-ER-018; WS-ER-044","Clinical Cart; Workstation",3.2,Met,Clinical Applications Specialist,,Yes
INC-10052,2026-04-06,2026-04-07,ICU,High,EMR/PACS,CART-ICU-007,Clinical Cart,2.4,Breached,Clinical Applications Specialist,,No
INC-10067,2026-04-09,2026-04-09,Billing,Medium,General IT,WS-BIL-022,Workstation,1.1,Met,Tier 1 Desktop Support,,No
INC-10072,2026-04-14,2026-04-15,Facilities,Low,General IT,MOB-FAC-003,Mobile / Telemetry,0.7,Met,Tier 1 Desktop Support,,No
INC-10103,2026-04-22,2026-04-22,Cardiology,High,PACS Imaging,"PACS-CARD-002; WS-CAR-011","SaaS Seat; Workstation",4.5,Met,Tier 3 Systems / Network Engineering,CAP-PACS-26,No
INC-10144,2026-05-03,2026-05-04,HR,Medium,Security Incident,WS-HR-014,Workstation,3.7,Breached,Cybersecurity / Enterprise Architect,,No
INC-10157,2026-05-08,2026-05-08,ER,High,Clinical Systems - Bedside Cart,CART-ER-006,Clinical Cart,1.8,Met,Tier 2 Advanced Field Support,,Yes
INC-10173,2026-05-11,2026-05-11,Billing,Low,General IT,SAAS-BIL-071,SaaS Seat,0.4,Met,Tier 0 Self-Service,,No
INC-10188,2026-05-17,2026-05-18,ICU,Critical,High Sensitivity PHI,"CART-ICU-011; MON-ICU-033","Clinical Cart; Mobile / Telemetry",5.6,Breached,Clinical Applications Specialist,,Yes
INC-10211,2026-05-26,2026-05-26,Facilities,Medium,General IT,WS-FAC-018,Workstation,2.1,Met,Tier 2 Advanced Field Support,OPS-WIFI-26,No
INC-10229,2026-06-02,2026-06-03,Cardiology,Critical,PACS Imaging - PHI,PACS-CARD-001,SaaS Seat,6.4,Met,Clinical Applications Specialist,,Yes
INC-10247,2026-06-06,2026-06-06,ER,Medium,General IT,WS-ER-029,Workstation,1.3,Met,Tier 1 Desktop Support,,No
INC-10263,2026-06-12,2026-06-14,HR,High,Security Incident - PHI,"WS-HR-018; SAAS-HR-022","Workstation; SaaS Seat",4.2,Breached,Cybersecurity / Enterprise Architect,,No
INC-10280,2026-06-21,2026-06-21,Billing,High,Revenue Cycle Application,SAAS-BIL-014,SaaS Seat,2.9,Met,Tier 3 Systems / Network Engineering,REV-PORTAL-26,No
INC-10301,2026-07-02,2026-07-02,ICU,Medium,Clinical Systems,CART-ICU-019,Clinical Cart,1.6,Met,Tier 2 Advanced Field Support,,No
INC-10315,2026-07-08,2026-07-09,Facilities,Critical,Security Incident,FW-FAC-001,Network Appliance,7.8,Breached,Cybersecurity / Enterprise Architect,NET-SEG-26,Yes
INC-10328,2026-07-12,2026-07-12,Cardiology,Low,General IT,WS-CAR-034,Workstation,0.8,Met,Tier 1 Desktop Support,,No
INC-10343,2026-07-18,2026-07-18,ER,Critical,Life-Safety Critical Clinical,"TEL-ER-005; CART-ER-021","Mobile / Telemetry; Clinical Cart",4.9,Met,Clinical Applications Specialist,,Yes
